iter	Passed	Remaining
157	16054	85555
158	16163	85492
159	16251	85318
160	16348	85195
161	16439	85040
162	16530	84884
163	16637	84809
164	16731	84669
165	16821	84510
166	16914	84368
167	17016	84273
168	17112	84144
169	17211	84034
170	17312	83928
171	17410	83811
172	17502	83666
173	17600	83553
174	17680	83351
175	17761	83154
176	17858	83038
177	17967	82973
178	18072	82890
179	18166	82756
180	18262	82636
181	18356	82502
182	18459	82412
183	18562	82319
184	18673	82262
185	18777	82178
186	18883	82096
187	18980	81980
188	19074	81847
189	19154	81656
190	19240	81494
191	19350	81434
192	19468	81404
193	19581	81352
194	19681	81250
195	19780	81142
196	19883	81048
197	19990	80973
198	20076	80812
199	20182	80729
200	20282	80624
201	20390	80554
202	20492	80456
203	20592	80350
204	20686	80223
205	20780	80095
206	20873	79964
207	20976	79873
208	21071	79750
209	21168	79632
210	21270	79535
211	21358	79388
212	21455	79274
213	21554	79167
214	21648	79042
215	21735	78890
216	21827	78758
217	21930	78668
218	22028	78557
219	22127	78453
220	22231	78363
221	22334	78271
222	22428	78148
223	22519	78014
224	22623	77924
225	22732	77853
226	22834	77756
227	22917	77598
228	23001	77442
229	23100	77337
230	23196	77220
231	23287	77088
232	23388	76991
233	23484	76875
234	23578	76756
235	23684	76673
236	23783	76570
237	23878	76452
238	23978	76351
239	24073	76234
240	24169	76117
241	24271	76024
242	24367	75909
243	24479	75847
244	24602	75814
245	24712	75743
246	24807	75627
247	24915	75550
248	25022	75470
249	25129	75387
250	25243	75327
251	25319	75156
252	25437	75104
253	25546	75029
254	25656	74956
255	25762	74871
256	25873	74802
257	25992	74753
258	26097	74665
259	26197	74563
260	26301	74469
261	26386	74324
262	26482	74211
263	26585	74117
264	26681	74003
265	26788	73918
266	26881	73797
267	27064	73922
268	27153	73788
269	27259	73701
270	27379	73651
271	27484	73561
272	27591	73475
273	27697	73388
274	27790	73266
275	27903	73197
276	28012	73114
277	28126	73047
278	28224	72939
279	28322	72829
280	28427	72737
281	28513	72598
282	28623	72520
283	28723	72414
284	28824	72312
285	28932	72230
286	29028	72115
287	29128	72012
288	29231	71914
289	29327	71801
290	29425	71693
291	29516	71567
292	29619	71471
293	29729	71392
294	29843	71320
295	29964	71266
296	30083	71206
297	30187	71113
298	30285	71004
299	30383	70894
300	30485	70795
301	30581	70681
302	30691	70601
303	30797	70510
304	30899	70409
305	30988	70280
306	31092	70184
307	31180	70054
308	31266	69919
309	31368	69820
310	31472	69724
311	31573	69624
312	31674	69522
313	31767	69402
314	31869	69303
315	31965	69191
316	32064	69085
317	32166	68986
318	32266	68882
319	32372	68791
320	32470	68683
321	32559	68555
322	32660	68455
323	32756	68342
324	32844	68216
325	32933	68089
326	33037	67994
327	33145	67907
328	33251	67816
329	33359	67729
330	33467	67642
331	33574	67554
332	33683	67467
333	33787	67373
334	33897	67289
335	34005	67200
336	34116	67119
337	34240	67063
338	34352	66982
339	34460	66894
340	34572	66813
341	34713	66788
342	34847	66749
343	34972	66692
344	35088	66618
345	35194	66523
346	35311	66450
347	35431	66383
348	35536	66287
349	35670	66245
350	35816	66224
351	35950	66181
352	36068	66109
353	36201	66062
354	36310	65971
355	36401	65850
356	36527	65790
357	36664	65749
358	36771	65655
359	36873	65553
360	36998	65489
361	37129	65438
362	37234	65340
363	37337	65237
364	37445	65144
365	37552	65050
366	37639	64920
367	37741	64816
368	37846	64719
369	37952	64621
370	38053	64516
371	38154	64412
372	38261	64316
373	38361	64209
374	38460	64100
375	38569	64008
376	38668	63901
377	38780	63813
378	38867	63686
379	38957	63562
380	39056	63453
381	39160	63353
382	39256	63240
383	39361	63143
384	39462	63037
385	39559	62926
386	39670	62837
387	39762	62718
388	39873	62629
389	39970	62518
390	40078	62424
391	40175	62312
392	40281	62216
393	40375	62101
394	40478	61998
395	40581	61897
396	40673	61779
397	40776	61677
398	40882	61579
399	40977	61466
400	41080	61364
401	41184	61264
402	41274	61143
403	41376	61040
404	41468	60922
405	41568	60817
406	41672	60716
407	41777	60618
408	41887	60527
409	41988	60422
410	42096	60327
411	42209	60240
412	42311	60138
413	42423	60048
414	42535	59959
415	42633	59850
416	42738	59752
417	42834	59640
418	42942	59545
419	43039	59434
420	43129	59315
421	43229	59210
422	43328	59102
423	43421	58987
424	43510	58867
425	43608	58759
426	43721	58670
427	43831	58578
428	43949	58496
429	44048	58389
430	44170	58313
431	44301	58248
432	44416	58161
433	44517	58057
434	44617	57951
435	44711	57837
436	44846	57776
437	44988	57725
438	45083	57612
439	45193	57518
440	45306	57429
441	45408	57325
442	45511	57223
443	45603	57106
444	45703	57001
445	45803	56895
446	45906	56792
447	45993	56670
448	46087	56557
449	46181	56444
450	46284	56341
451	46379	56230
452	46481	56127
453	46584	56024
454	46704	55942
455	46813	55847
456	46913	55742
457	47008	55630
458	47114	55531
459	47220	55433
460	47320	55326
461	47420	55221
462	47521	55117
463	47637	55029
464	47728	54913
465	47815	54792
466	47914	54686
467	48030	54598
468	48140	54504
469	48231	54388
470	48324	54275
471	48409	54152
472	48513	54052
473	48602	53934
474	48702	53828
475	48798	53719
476	48905	53621
477	49019	53532
478	49139	53448
479	49237	53340
480	49347	53246
481	49440	53133
482	49550	53038
483	49655	52938
484	49760	52838
485	49849	52721
486	49959	52626
487	50064	52526
488	50162	52419
489	50257	52309
490	50368	52215
491	50466	52107
492	50546	51981
493	50634	51864
494	50738	51763
495	50849	51669
496	50943	51558
497	51031	51441
498	51124	51329
499	51220	51220
500	51326	51121
501	51437	51027
502	51545	50931
503	51643	50823
504	51749	50724
505	51846	50616
506	51938	50504
507	52035	50396
508	52124	50281
509	52239	50191
510	52377	50122
511	52473	50013
512	52559	49895
513	52656	49788
514	52764	49691
515	52866	49588
516	52969	49486
517	53064	49376
518	53148	49257
519	53239	49144
520	53328	49029
521	53431	48928
522	53538	48829
523	53633	48720
524	53743	48625
525	53839	48517
526	53937	48410
527	54039	48308
528	54135	48199
529	54237	48097
530	54342	47997
531	54432	47884
532	54537	47784
533	54636	47679
534	54736	47574
535	54834	47468
536	54927	47358
537	55037	47263
538	55144	47164
539	55242	47058
540	55333	46946
541	55438	46846
542	55531	46736
543	55624	46626
544	55734	46530
545	55836	46427
546	55942	46329
547	56047	46229
548	56144	46122
549	56244	46017
550	56337	45908
551	56443	45809
552	56545	45706
553	56636	45595
554	56729	45486
555	56834	45385
556	56947	45292
557	57057	45196
558	57171	45103
559	57282	45007
560	57397	44915
561	57496	44810
562	57607	44715
563	57723	44622
564	57819	44516
565	57929	44419
566	58037	44321
567	58133	44214
568	58240	44115
569	58363	44028
570	58483	43939
571	58594	43843
572	58704	43746
573	58815	43650
574	58928	43555
575	59042	43462
576	59152	43364
577	59271	43274
578	59382	43177
579	59508	43092
580	59634	43006
581	59756	42917
582	59867	42820
583	59986	42730
584	60103	42637
585	60223	42546
586	60339	42453
587	60435	42346
588	60537	42242
589	60651	42147
590	60751	42042
591	60861	41945
592	60961	41840
593	61058	41733
594	61153	41625
595	61266	41529
596	61373	41429
597	61480	41329
598	61578	41223
599	61682	41121
600	61768	41007
601	61864	40900
602	61968	40798
603	62056	40686
604	62169	40590
605	62271	40486
606	62376	40385
607	62477	40281
608	62569	40171
609	62664	40064
610	62776	39967
611	62869	39858
612	62974	39756
613	63081	39656
614	63173	39547
615	63265	39437
616	63370	39337
617	63486	39242
618	63571	39128
619	63674	39026
620	63773	38921
621	63878	38819
622	63998	38728
623	64111	38631
624	64203	38522
625	64303	38417
626	64400	38311
627	64502	38208
628	64598	38101
629	64703	38000
630	64807	37898
631	64924	37803
632	65040	37709
633	65135	37601
634	65234	37496
635	65321	37385
636	65430	37286
637	65543	37189
638	65652	37089
639	65759	36989
640	65858	36884
641	65948	36775
642	66048	36670
643	66143	36563
644	66243	36459
645	66345	36356
646	66440	36249
647	66560	36156
648	66664	36054
649	66752	35943
650	66834	35829
651	66939	35728
652	67069	35640
653	67181	35542
654	67276	35435
655	67380	35333
656	67476	35227
657	67585	35128
658	67692	35027
659	67830	34942
660	67943	34845
661	68055	34747
662	68148	34639
663	68245	34534
664	68357	34435
665	68451	34328
666	68545	34221
667	68659	34124
668	68776	34028
669	68868	33920
670	68974	33818
671	69082	33718
672	69185	33616
673	69284	33511
674	69379	33404
675	69481	33301
676	69568	33191
677	69676	33091
678	69786	32991
679	69908	32898
680	70028	32803
681	70130	32700
682	70241	32600
683	70351	32501
684	70457	32400
685	70558	32296
686	70662	32193
687	70765	32091
688	70854	31982
689	70960	31880
690	71066	31779
691	71166	31675
692	71271	31573
693	71368	31468
694	71458	31359
695	71573	31262
696	71691	31165
697	71792	31062
698	71910	30965
699	72002	30858
700	72111	30757
701	72203	30650
702	72304	30546
703	72408	30444
704	72515	30343
705	72614	30238
706	72730	30141
707	72830	30037
708	72920	29929
709	73017	29823
710	73125	29723
711	73231	29621
712	73330	29517
713	73421	29409
714	73533	29310
715	73626	29203
716	73714	29095
717	73802	28986
718	73901	28882
719	73995	28775
720	74101	28674
721	74213	28575
722	74320	28474
723	74404	28364
724	74498	28257
725	74607	28157
726	74728	28061
727	74839	27961
728	74953	27863
729	75067	27764
730	75178	27664
731	75272	27558
732	75360	27450
733	75459	27346
734	75564	27244
735	75662	27139
736	75767	27037
737	75876	26937
738	75982	26835
739	76084	26732
740	76185	26628
741	76285	26525
742	76385	26421
743	76505	26324
744	76608	26221
745	76722	26122
746	76813	26015
747	76910	25911
748	77010	25807
749	77104	25701
750	77194	25594
751	77298	25492
752	77405	25390
753	77513	25289
754	77618	25187
755	77718	25083
756	77837	24986
757	77950	24886
758	78038	24779
759	78143	24676
760	78227	24568
761	78336	24467
762	78433	24362
763	78524	24256
764	78629	24154
765	78736	24052
766	78848	23952
767	78963	23853
768	79052	23746
769	79154	23643
770	79236	23534
771	79335	23430
772	79430	23325
773	79536	23223
774	79646	23123
775	79745	23019
776	79870	22922
777	79983	22822
778	80095	22722
779	80195	22619
780	80285	22512
781	80389	22410
782	80483	22305
783	80594	22204
784	80702	22103
785	80813	22002
786	80911	21898
787	81003	21792
788	81112	21691
789	81224	21591
790	81317	21485
791	81421	21383
792	81519	21279
793	81630	21178
794	81728	21074
795	81843	20974
796	81950	20873
797	82044	20768
798	82146	20665
799	82251	20562
800	82356	20460
801	82448	20355
802	82548	20251
803	82663	20151
804	82760	20047
805	82881	19949
806	82972	19843
807	83071	19739
808	83180	19638
809	83285	19536
810	83383	19432
811	83482	19328
812	83579	19224
813	83686	19122
814	83798	19021
815	83913	18921
816	84008	18817
817	84112	18714
818	84210	18610
819	84328	18511
820	84422	18406
821	84512	18300
822	84610	18196
823	84705	18092
824	84813	17990
825	84904	17885
826	85012	17783
827	85117	17681
828	85227	17580
829	85341	17479
830	85452	17378
831	85544	17273
832	85639	17169
833	85739	17065
834	85837	16961
835	85963	16863
836	86060	16759
837	86157	16655
838	86260	16552
839	86360	16449
840	86472	16348
841	86585	16247
842	86702	16147
843	86823	16047
844	86931	15946
845	87062	15848
846	87170	15746
847	87277	15644
848	87372	15539
849	87479	15437
850	87583	15334
851	87691	15232
852	87782	15127
853	87883	15024
854	87998	14923
855	88102	14820
856	88225	14721
857	88323	14617
858	88436	14516
859	88542	14413
860	88645	14310
861	88752	14208
862	88849	14104
863	88955	14002
864	89075	13902
865	89174	13798
866	89275	13695
867	89375	13591
868	89481	13489
869	89583	13386
870	89689	13283
871	89790	13180
872	89884	13075
873	89980	12971
874	90104	12872
875	90209	12769
876	90315	12666
877	90421	12564
878	90532	12462
879	90638	12359
880	90770	12260
881	90851	12154
882	90950	12051
883	91066	11949
884	91166	11846
885	91270	11743
886	91368	11639
887	91472	11537
888	91572	11433
889	91666	11329
890	91771	11226
891	91868	11123
892	91984	11021
893	92166	10927
894	92272	10825
895	92382	10722
896	92493	10620
897	92606	10518
898	92708	10415
899	92819	10313
900	92923	10210
901	93032	10107
902	93129	10003
903	93244	9902
904	93333	9797
905	93436	9694
906	93532	9590
907	93621	9485
908	93714	9381
909	93812	9278
910	93910	9174
911	94011	9071
912	94117	8968
913	94229	8866
914	94329	8762
915	94435	8660
916	94529	8556
917	94631	8452
918	94721	8348
919	94825	8245
920	94920	8141
921	95027	8039
922	95128	7935
923	95258	7835
924	95355	7731
925	95456	7628
926	95556	7524
927	95652	7421
928	95753	7318
929	95849	7214
930	95950	7111
931	96047	7007
932	96150	6904
933	96253	6801
934	96360	6698
935	96466	6596
936	96549	6491
937	96653	6388
938	96753	6285
939	96851	6182
940	96957	6079
941	97063	5976
942	97164	5873
943	97285	5771
944	97378	5667
945	97468	5563
946	97566	5460
947	97658	5356
948	97765	5253
949	97873	5151
950	97979	5048
951	98083	4945
952	98194	4842
953	98305	4740
954	98411	4637
955	98491	4533
956	98591	4429
957	98673	4325
958	98775	4222
959	98878	4119
960	98977	4016
961	99092	3914
962	99196	3811
963	99299	3708
964	99409	3605
965	99515	3502
966	99616	3399
967	99720	3296
968	99821	3193
969	99929	3090
970	100031	2987
971	100142	2884
972	100248	2781
973	100350	2678
974	100450	2575
975	100549	2472
976	100661	2369
977	100759	2266
978	100868	2163
979	100974	2060
980	101064	1957
981	101163	1854
982	101269	1751
983	101384	1648
984	101479	1545
985	101569	1442
986	101668	1339
987	101765	1236
988	101851	1132
989	101957	1029
990	102056	926
991	102166	823
992	102261	720
993	102362	617
994	102476	514
995	102572	411
996	102668	308
997	102776	205
998	102890	102
999	102981	0
